1,"Дизайн, чистый андроид, быстродействие, Камера"
1,"тонкий , очень тонкий. очень быстрый . автономность удовлетворяет. снимки хорошего качества. быстрый отпечаток пальца. много памяти и две сим карты. материалы и качество сборки изумительное., нет 3.5, моторола всегда лучшие телефоны  были razr v3. razr . razr maxx. razr i. moto x . moto zoom2 мото360. 
  берешь в руки и чувствуешь монолитность и качество конструкции."
1,"Флагман 17го года.  Модель уже не производится, сейчас распродаются остатки. По совокупности  качеств, это лучшая модель за те деньги, за которые я его купил.
1. Экран, Супер-Амолед. Шикарный! Не хуже, чем у моих бывших Самсунгов S4  S5. Разрешение, цвет, яркость все на месте. 
2. 626 процессора хватает на все с запасом. В игры не играю, но думаю, что не подкачает.
3. Батарея 2800... Мало!?. Да нифига! Аппарат легко, со Навигатором, блютузом и др. нагрузкой держит заряд 2 (Два!!) дня. Перестал с собой зарядку и банку таскать. Для сравнения мои бывшие ""Самы"" даже в новом состоянии едва доживали до вечера. Я не говорю о китайцах. Вопрос не в батарее, а в оптимизации ПО. С этим у аппарата, видимо все в порядке...
4.  Звук очень приличный, хороший ЦАП. К удивлению, в комплекте поставлялись очень приличные наушники.
5. Датчик пальца, работает мгновенно, что приятно удивило.
6. Тормозов никаких. Берешь в руки аппараты близкие по цене, начинают бесить фризы... 
7. Корпус реально анодированный алюминий, а не покрытый  тонким слоем металла пластик, который облазит уже через пару месяцев, как у моих бывших.
8. Память 4/64 хватает на все, даже без доп флешки.
9. С GPS все в порядке.
10. Ловит все и везде. У жены тоже был Сам С5, не ловил на работе, как в прочем и у меня. Сейчас, нет проблем со связью, и интернет в 4G есть везде.
11. Камера на самом деле, лучше, чем ее описывают в обзорах. В темноте довольно неплохо снимает, HDR вытягивает снимки довольно неплохо. Угол обзора больше, чем у других, что сильно помогает при съемках в помещении и на природе. По крайней мере на групповой снимок влезают все. Фронтальная камера, тоже широкоугольная, и имеет вспышку. Это ООООчень гуд. В темноте селфи получаются классные., 1. Пару раз перезагружался (у жены такой, ни разу), оба раза при подключении по блутузу китайских наушников с Алиэкспресса.
2. Возможно широковат. Одной рукой сложно управлять.
3. У камеры нет оптической стабилизации. (зато она есть у модели MOTO Z у которого нет гнезда для ушей ), Купил случайно перед новым годом, поскольку надо было заменить сдохший С5 и уложиться в бюджет.  Я даже представить не мог насколько удачной получится покупка."
1,"Тонкий, шустрый, отличное качество сборки, заряд держит хорошо, быстро заряжается, фактически чистый android., камера мне не очень понравилась или может я еще не вникал во все ее настройки"
1,"Габариты, шустрый, модульность., Белые телефоны дороговаты.
При передачи аудио потока с видеоролика по блютус из ютьюба на автомобильное головное устройство и одновременной раздаче ему же вай-фая звук бывает на пол секунды-секунду пропадает. Но это видимо связано с ПО, так как на предыдущих телефонах такой проблемы не было. Надеюсь в дальнейшем проблему эту решат. , К сожалению на нашем рынке пока нету Force версии, а имеющийся аккумулятор маловат, что ожидаемо при текущих габаритах. Но даже при нём держится достойно."
1,"Внешний вид. Скорость. Большой экран. 
Спустя 4 месяца. Скорость не очень. Экран пока ничего. 
Прошло полгода. Камера минус одна звезда.
7 месяцев спустя - сдался. Купил MI. Очень не рекомендую этот аппарат., Полное отсутствие gps. На картах что на Гугле что на яндыхе показывает в полукилометре от реального местанохождения. Всегда в поиске gps и безрезультатно. Связь посредственная. При прочих равных на яблоко не дозванивались 3 из 5. Сюда 4 из 5. На сони дозвон 100%. (над рабочим местом черная дыра). 

Спустя 4 месяца. Gps появился. Танцы с бубном, но есть. Однако не всегда. Начал сам перезагружаться. Зависает. Дозвон - 3 из 5. Инет подтормаживает. Батареи нет. Совсем. Ни сколько. Абсолютно. С дополнительной батареей еле-еле хватает на день. 

Прошло полгода. Греется, безбожно. Батареи с доп.батареей хватает до 14-15.00, далее проводочек. Выключается при заряде 15%. По факту то что происходит с яблоком через 1,5-2 года, но это произошло за 6 месяцев., Буду сдавать. 
Дополнение - надо было сдать. 
Беру дочери MI. Думаю поменяюсь с ней. 

Прошло полгода.  - MI дочери летает, хотя память забита играми, мой зависает.  Если у кого есть сомнения - не берите ЭТО. Буду описывать тут все циклы жизни, тем более, судя по всему, осталось не долго."
0,"Экран, неисправен из коробки, Неисправен из коробки - wifi не работает. Проблема известная. Покупка этого прибора лотерея.  Возврат денег через сервисный центр. Дней 20 ждать. "
1,"Приятно выглядит смартфон, удобно лежит в руке, очень неплохо держит заряд, разблокировка по лицу, очень нравится экран, вроде хорошая камера(надо тестировать), мощный процессор, беспроводная зарядка, быстрая зарядка(зарядил до 100% с нуля за 1 час 10 минут), неплохой звук, как в динамиках, так и при подключении в авто через блютуз и при подключении к наушникам JBL, чехол в комплекте, причем нравится, не скользкий, не тяжелый, по крайней мере, относительно iphone x и относительно своих размеров., Сканер отпечатка пальца, по крайней мере у меня,срабатывает отлично если сухой палец и попадаешь на сканер, который на экране, если палец немного влажный и сырой, то все, хоть затыкай, не срабатывает, потом выходит небольшое окно с маленькими цифрами и нужно туда забить пароль.
Камера пишут без стабилизации, пикселей много, 4к видео снимает, но картинка и видео будут уступать конкурентам флагманам, но нужно тестировать.
Может показалось, но в сравнении с IOS, много вылазит рекламы, в хроме вдруг реклама прямо на основном окне браузера, еще в паре тройке приложений, но может показалось)
Смотрел обзоры, писали про плохой микрофон, я бы не сказал, что он совсем плохой, но наверно не флагманский)
Три камеры сильно выпирают с корпуса, наверно плохо.
Нет разъема 3.5, но мне не нужен.
, Покупался  за 38000 с наушниками JBL tune600bt(цена от  4500 руб), в первый день продаж, цвет черный, причем тыкал в интернет-магазине, с пятого раза положил в корзину( писал нет в наличии), сразу оплатил всю сумму, но привезли прямо как обещали). 
В сравнении с айфон 6, все очень быстро, я думал айфон 6 работает быстро, а оказалось нет)))даже треки в машине переключаются намного быстрее.
Также лучше камера,  экран, аккум.
Работа отпечатка пальца не очень понравилась, опять же в сравнении с 6 айфоном, но настроил по лицу и все норм, хотя менее безопасно.
NFC надо еще настроить
Взял бы айфон X, но цена как раз в 2 раза отличается ну и память 128, после установки всех нужных приложений 110 ГБ осталось.
Наверно первый смартфон от xiaomi, где есть и начинка, и хороший экран, и NFC, и беспроводная зарядка, и надеюсь хорошая камера, и аккум емкий, и экран почти во весь корпус.
Вывод: после 5-летнего использования айфонов буду использовать андройд и xiaomi.
"
1,"Экран. Моё первое знакомство с AMOLED. Цвета невероятно сочные.

Производительность. Ничего не лагает, что ожидаемо с таким процессором.

Камера. Брал, в основном, ради неё. Не разочарован. Стоковая камера заметно проигрывает порту gcam. С ним же получаются весьма достойные фотографии.

Выглядит стильно.

NFC присутствует. Оплачивает без проблем.

Поддержка мощной беспроводной (20 Вт) и проводной (27 Вт) зарядки. Можно купить на али, до рф как-то не довезли. В комплекте на 18 Вт.

Достаточно удобно лежит в руке.

Подэкранный сканер отпечатка пальца работает хорошо. Проблем с разблокировкой почти не возникает.

Полноэкранный режим MIUI весьма удобен., Экран, корпус и даже чехол сильно пачкаются.

Затемнённый чехол в комплекте. Так что толку от переливания корпуса мало.

Модуль камер выступает даже в чехле.

Отсутствие официальной сертификации водозащиты.

Отсутствие 3.5 разъёма и слота для карты памяти.

В выемку верхнего динамика будет постоянно набиваться пыль. 

Довольно часто задеваю рукой нижний левый угол экрана.

MIUI. На мой взгляд, весьма неудобна. Изначальный вид системы совсем ужасен. К счастью, лаунчер и иконки можно кастомизировать. Но дальше - хуже. Некоторые настройки спрятаны в весьма неочевидных местах. Одна шкала громкости для нотификаций и звонков. Иконки нотификаций не показываются в строке состояния (да, есть настройка для этого, которая ничего не меняет). Множество предустановленных и неудаляемых мусорных приложений. Оптимизации системы которые до конца не выключить и которые нарушают работу некоторых приложений. РЕКЛАМА В ОБОЛОЧКЕ. Вы представляете? Купили вы флагман Xiaomi, а у вас в системных приложениях на весь экран будет выскакивать реклама яндекс такси. Это просто дно., Батарея ни хороша, ни плоха. Спокойно выдержит день среднего использования.  На большее не рассчитывайте.

"
1,"Достойный флагман с большим экранами и прекрасной камерой.  
Производительный процессор и ёмкий, для тех процесса платы, аккумулятор- это всё про Mi 9.
Беспроводная зарядка и встроенный в экран сканер пальца дают телефону заметное преимущество среди схожих аппаратов подобной ценовой категории, Иногда медленновато работает сканер отпечатка"
